Period,PracticeId,Locality,Street,Area,Posttown,County,Postcode,lat,long,PsuPracticeCode,ClusterID,0Period
202006.0,W93633,,RHYS HOUSE,JAMES STREET,EBBW VALE,GWENT,NP23 6JG,51.7771,-3.2079,,,
202006.0,W95002,,LLAN ABER PRACTICE,REAR OF CHURCH STREET,LLANBRADACH CAERPHILLY,MID GLAMORGAN,CF83 3LS,51.59288333333333,-3.2333833333333337,,,
202006.0,W95073,,THE VILLAGE SURGERY,2 LEWIS TERRACE,LLANBRADACH CAERPHILLY,MID GLAMORGAN,CF83 3JZ,51.59288333333333,-3.2333833333333337,,,
202006.0,W95078,,SOUTH STREET SURGERY,SOUTH STREET,BARGOED,MID GLAMORGAN,CF81 8ST,51.710483333333336,-3.265,,,
202006.0,W95083,,106 ST. CENYDD ROAD,TRECENYDD,CAERPHILLY,MID GLAMORGAN,CF83 2TE,51.59288333333333,-3.2333833333333337,,,
202006.0,W95084,,THE SURGERY,TROED Y BRYN,PENYRHEOL CAERPHILLY,MID GLAMORGAN,CF83 2PX,51.59288333333333,-3.2333833333333337,,,
202006.0,W95629,,BEDWAS SURGERY,EAST AVENUE,BEDWAS,Caerphilly,CF83 8AE,51.59288333333333,-3.2333833333333337,,,
202006.0,W93693,,THE HEALTH CENTRE,CANNING STREET,CWM EBBW VALE,GWENT,NP11 6RW,51.6439,-3.1317,,,
202006.0,W93694,,THE SURGERY,STATION ROAD,BLAINA,GWENT,NP13 3BW,51.7298,-3.1343,,,
202006.0,W91699,,GWENT H A,MAMHILAD HOUSE,MAMHHILAD PARK ESTATE,PONTYPOOL GWENT,NP4 0YP,51.718515789473685,-3.030521052631579,,,
202006.0,W93118,,KELVEDON CLINIC,5 KELVEDON STREET,NEWPORT,GWENT,NP19 0DW,51.5888,-2.9638,,,
202006.0,W93120,,HEALTH CENTRE,MONNOW WAY,BETTWS NEWPORT,GWENT,NP20 7DB,51.5877,-2.9984,,,
202006.0,W00009,,MAMHILAD HOUSE,MAMHILAD PARK ESTATE,PONTYPOOL,GWENT,NP4 0YP,51.718515789473685,-3.030521052631579,,,
202006.0,W93123,,UNDERWOOD HEALTH CENTRE,BIRCHGROVE,LLANMARTIN,NEWPORT,NP18 2HX,51.6084,-2.9435,,,
202006.0,W93124,,PONTNEWYNYDD CLINIC,MILL ROAD,PONTNEWYNYDD PONTYPOOL,GWENT,NP4 6NG,51.718515789473685,-3.030521052631579,,,
202006.0,W93130,,CASTELL CLINIC,CWMFELINFACH,YNYSDDU,GWENT,NP11 7HB,51.6439,-3.1317,,,
202006.0,W95011,,PARC CANOL SURGERY,CENTRAL PARK,CHURCH VILLAGE PONTYPRIDD,MID GLAMORGAN,CF38 1RJ,51.5543,-3.34528,,,
202006.0,W95022,,HEALTH CENTRE,HIGH STREET,ABERDARE,MID GLAMORGAN,CF44 7DD,51.7327125,-3.48293125,,,
202006.0,W95024,,THE ASHGROVE SURGERY,MORGAN STREET,PONTYPRIDD,MID GLAMORGAN,CF37 2DR,51.613815384615386,-3.3598076923076925,,,
202006.0,W95029,,RHOS HOUSE SURGERY,55 OXFORD STREET,MOUNTAIN ASH,MID GLAMORGAN,CF45 3HD,51.66452,-3.3537,,,
202006.0,W95044,,PARK LANE SURGERY,MILL STREET,TONYREFAIL,MID GLAMORGAN,CF39 8AG,51.5988125,-3.447975,,,
202006.0,W95048,,ABERAMAN SURGERY,GLAMORGAN STREET,ABERAMAN  ABERDARE,MID GLAMORGAN,CF44 6SR,51.7327125,-3.48293125,,,
202006.0,W95055,,HILLCREST MEDICAL CENTRE,PRYCE STREET,MOUNTAIN ASH,MID GLAMORGAN,CF45 3NT,51.66452,-3.3537,,,
202006.0,W95071,,NEW TYNEWYDD SURGERY,WILLIAM STREET,TYNEWYDD  TREHERBERT,MID GLAMORGAN,CF42 5LW,51.66798333333333,-3.5247833333333336,,,
202006.0,W95607,,MISKIN SURGERY,215 PENRHIWCEIBER ROAD,MOUNTAIN ASH,MID GLAMORGAN,CF45 3UF,51.66452,-3.3537,,,
202006.0,W95633,,74 MONK STREET,ABERDARE,MID GLAMORGAN,,CF44 7PA,51.7327125,-3.48293125,,,
202006.0,W95638,,10 GEORGE STREET,ABERAMAN,MID GLAMORGAN,,CF44 6RY,51.7327125,-3.48293125,,,
202006.0,W95640,,THE HOLLIES HEALTH CENTRE,SWAN STREET,MERTHYR TYDFIL,MID GLAMORGAN,CF47 1UA,51.7479,-3.3778,,,
202006.0,W95642,,69 MILL STREET,TRECYNON,ABERDARE,MID GLAMORGAN,CF44 8LY,51.7327125,-3.48293125,,,
202006.0,W95646,,BROOKSIDE SURGERY,25 BRIDGE STREET,TROEDYRHIW,MID GLAMORGAN,CF48 4DT,51.73028000000001,-3.37198,,,
202006.0,W97002,,ROATHWELL SURGERY,116 NEWPORT ROAD,ROATH CARDIFF,SOUTH GLAMORGAN,CF24 1YT,51.48,-3.18,,,
202006.0,W97004,,BYWAYS,74 PWLLMELIN ROAD,LLANDAFF CARDIFF,SOUTH GLAMORGAN,CF5 2NH,51.471875,-3.275816666666667,,,
202006.0,W97006,,BRYNDERWEN SURGERY,CRICKHOWELL ROAD,SAINT MELLONS CARDIFF,SOUTH GLAMORGAN,CF3 0EF,51.52382222222222,-3.0891333333333333,,,
202006.0,W97012,,LLANGENNITH,37 GABALFA AVENUE,CARDIFF,SOUTH GLAMORGAN,CF14 2XA,51.5199,-3.204,,,
202006.0,W97013,,LLANISHEN COURT SURGERY,LLANISHEN,CARDIFF,SOUTH GLAMORGAN,CF14 5YU,51.5199,-3.204,,,
202006.0,W97017,,WESTWAY SURGERY,1 WILSON ROAD,ELY CARDIFF,SOUTH GLAMORGAN,CF5 4LJ,51.471875,-3.275816666666667,,,
202006.0,W97030,,RIVERSIDE HEALTH CENTRE,WELLINGTON STREET,CANTON CARDIFF,SOUTH GLAMORGAN,CF11 9SH,51.48,-3.18,,,
202006.0,W97067,,180 KINGS ROAD,CANTON,CARDIFF,SOUTH GLAMORGAN,CF11 9DG,51.48,-3.18,,,
202006.0,W97069,,WILLOWBROOK SURGERY,STRATHY ROAD,SAINT MELLONS CARDIFF,SOUTH GLAMORGAN,CF3 0SH,51.52382222222222,-3.0891333333333333,,,
202006.0,W97615,,HOLME TOWERS,MARIE CURIE CANCER HOSPIC,BRIDGEMAN ROAD PENARTH,SOUTH GLAMORGAN,CF64 3YR,51.42878,-3.21045,,,
202006.0,W97622,,6 CLARE STREET,RIVERSIDE,CARDIFF,SOUTH GLAMORGAN,CF11 6SB,51.48,-3.18,,,
202006.0,W97624,,THE WILLOWS SURGERY,230-232 HOLTON ROAD,BARRY,SOUTH GLAMORGAN,CF63 4HS,51.4172,-3.2614,,,
202006.0,W92699,,BRO TAF H A,CHURCHILL HOUSE,CHURCHILL WAY,CARDIFF,CF10 2TW,51.48,-3.18,,,
202006.0,W97286,,LLANDAFF NORTH MED CENTRE,99 STATION ROAD,LLANDAFF NORTH CARDIFF,SOUTH GLAMORGAN,CF14 2FD,51.5199,-3.204,,,
202006.0,W95644,,THE SURGERY,PENRHYS,FERNDALE RHONDDA,MID GLAMORGAN,OO00 0OO,,,,,
202006.0,W95289,,COMMUNITY HEALTH CENTRE,RHIGOS,MID GLAMORGAN,,CF44 8LY,51.7327125,-3.48293125,,,
202006.0,W00010,,CHURCHILL HOUSE,CHURCHILL WAY,CARDIFF,SOUTH GLAMORGAN,CF10 2TW,51.48,-3.18,,,
202006.0,W96003,,TY HENRY VAUGHAN,BRIDGE STREET,BRECON,POWYS,LD3 8AH,51.99435362318841,-3.411075362318841,,,
202006.0,W96008,,ERW VANE SURGERY,PENYBONT ROAD,KNIGHTON,POWYS,LD7 1HB,52.38221764705882,-3.0686,,,
202006.0,W96014,,MACHYNLLETH HEALTH CENTRE,FORGE ROAD,MACHYNLLETH,POWYS,SY20 8EQ,52.59227105263158,-3.816673684210527,,,
202006.0,W96018,,THE SURGERY,HARPERS LANE,PRESTEIGNE,POWYS,LD8 2AN,52.262570833333335,-3.0537541666666663,,,
202006.0,W92006,,BORTH SURGERY,HIGH STREET,BORTH CEREDIGION,DYFED,SY24 5JE,52.4732875,-4.028475,,,
202006.0,W92010,,49-51 LAWS STREET,PEMBROKE DOCK,DYFED,,SA72 6DJ,51.69333333333333,-4.921600000000001,,,
202006.0,W92012,,ST.OSWALDS SURGERY,THE PARADE,PEMBROKE,DYFED,SA71 4LD,51.653200000000005,-4.955814999999999,,,
202006.0,W00099,,KALEIDOSCOPE,ST DAVID'S UNITING CHURCH,GELLIWASTAD ROAD,PONTYPRIDD,CF37 2BN,51.613815384615386,-3.3598076923076925,,,
202006.0,W91033,,BEECH HOUSE SURGERY,69 VALE STREET,DENBIGH,DENBIGHSHIRE,LL16 3AU,53.170152173913046,-3.4313173913043475,,,
202006.0,W00058,,CEREDIGION LHB,THE BRYN NORTH ROAD,LAMPETER,CEREDIGION,SA48 7HA,52.154116,-4.1118,,,
202006.0,W91038,,GWRYCH MEDICAL CENTRE,CAE EITHIN,ABERGELE,CONWY,LL22 8LJ,53.20816315789474,-3.6482,,,
202006.0,W94028,,CANOLFAN FEDDYGOL YR HEN ORSAF,STATION ROAD,BETHESDA,GWYNEDD,LL57 3NE,53.203925000000005,-4.106675,,,
202006.0,W00103,,ABERGELE CLINIC,MARKET STREET,ABERGELE,CONWY,LL22 7BP,53.20816315789474,-3.6482,,,
202006.0,W00105,,RURAL NORTH CLINIC,MAES DERW,LLANDUDNO JUNCTION,CONWY,LL31 9AL,53.29415,-3.81595,,,
202006.0,W00109,,KALEIDOSCOPE COMM PRESCRIBING,THE LIGHTHOUSE GEORGE STREET,PONTYPOOL,GWENT      ,NP4 6LR ,51.718515789473685,-3.030521052631579,,,
202006.0,W00112,,THE LODGE,DENBIGH INFIRMARY,RUTHIN ROAD,DENBIGH,LL16 3ES,53.170152173913046,-3.4313173913043475,,,
202006.0,W00106,,RURAL SOUTH CLINIC,CANOLFAN CRWST,FFORDD TAN-YR-YSGOL LLANRWST,CONWY,LL26 0AR,53.1115,-3.782657142857143,,,
202006.0,W91041,,CEFN MAWR MEDICAL PRACTICE,CEFN MAWR CLINIC,WELL STREET CEFN MAWR,WREXHAM,LL14 3AE,52.98906111111111,-3.0515166666666667,,,
202006.0,W91003,,CLARENCE MEDICAL CENTRE,WEST RHYL PRIMARY CARE CENTRE,WEST KINMEL STREET RHYL,DENBIGHSHIRE,LL18 1DA,53.29182,-3.45482,,,
202006.0,W91060,,ST MARKS DEE VIEW SURGERY,THE QUAY HEALTH CENTRE,FRON ROAD CONNAHS QUAY,FLINTSHIRE,CH5 4PJ,53.19930000000001,-3.03614,,,
202006.0,W91040,,THE QUAY SURGERY,THE QUAY HEALTH CENTRE,FRON ROAD CONNAHS QUAY,FLINTSHIRE,CH5 4PJ,53.19930000000001,-3.03614,,,
202006.0,W91607,,THE QUAY HEALTH CENTRE,FRON ROAD,CONNAHS QUAY,FLINTSHIRE,CH5 4PJ,53.19930000000001,-3.03614,,,
202006.0,W98034,,TY'R FELIN SURGERY,CECIL ROAD,GORSEINON SWANSEA,WEST GLAMORGAN,SA4 4BY,51.670225,-4.059125,,,
202006.0,W93019,,WYE VALLEY PRACTICE,SMITHVILLE CLOSE,ST. BRIAVELS,GLOUCESTER,GL15 6TN,51.73502173913044,-2.559021739130435,,,
202006.0,W93021,,MOUNT PLEASANT PRACTICE,CHEPSTOW COMMUNITY HOSPITAL,TEMPEST WAY CHEPSTOW,GWENT,NP16 5XR,51.6409,-2.6768,,,
202006.0,W93023,,GRAY HILL SURGERY,WOODSTOCK WAY,CALDICOT,GWENT,NP26 5AB,51.5866,-2.7574,,,
202006.0,W93026,,NEW CHAPEL STREET SURGERY,HAROLD STREET,PONTNEWYDD CWMBRAN,GWENT,NP44 1DU,51.65070000000001,-3.0178,,,
202006.0,W00107,,COLWYN BAY CLINIC,HESKETH ROAD,COLWYN BAY,CONWY,LL29 8AY,53.283275,-3.6966,,,
202006.0,W00113,,HAFEN LLES,THE OLD CHAMBERS,6-8 NANT HALL ROAD,PRESTATYN,LL19 9LH,53.3274,-3.408033333333333,,,
202006.0,W95032,,TREHARRIS PRIMARY CARE CENTRE,FOX STREET,TREHARRIS,MID GLAMORGAN,CF46 5HE,51.674075,-3.3016,,,
202006.0,W93010,,MARKHAM MEDICAL CENTRE,JAMES STREET,MARKHAM BLACKWOOD,GWENT,NP12 0QN,51.6678,-3.2075,,,
202006.0,W93028,,CLARK AVENUE SURGERY,CLARK AVENUE,PONTNEWYDD CWMBRAN,GWENT,NP44 1RY,51.65070000000001,-3.0178,,,
202006.0,W93039,,ST. PAUL'S CLINIC,PALMYRA PLACE KEYNSHAM AVENUE,NEWPORT,GWENT,NP20 4EJ,51.5877,-2.9984,,,
202006.0,W93631,,THE SURGERY,LLANHILLETH INSTITUTE,MEADOW STREET LLANHILLETH,ABERTILLERY GWENT,NP13 2JH,51.7298,-3.1343,,,
202006.0,W93640,,LLISWERRY MEDICAL CENTRE,FALLOWFIELD DRIVE,LLISWERRY NEWPORT,GWENT,NP19 4TD,51.5888,-2.9638,,,
202006.0,W93642,,THE HEALTH CENTRE,GLAN YR AFON LANE,FLEUR DE LIS BLACKWOOD,GWENT,NP12 3WA,51.6678,-3.2075,,,
202006.0,W95008,,TY BRYN SURGERY,THE BRYN,TRETHOMAS CAERPHILLY,MID GLAMORGAN,CF83 8GL,51.59288333333333,-3.2333833333333337,,,
202006.0,W95033,,BARGOED HALL,FAMILY HEALTH CENTRE,CARDIFF ROAD  BARGOED,MID GLAMORGAN,CF81 8NY,51.710483333333336,-3.265,,,
202006.0,W95030,,THE SURGERY,ST. DAVID'S STREET,TON PENTRE RHONDDA,MID GLAMORGAN,CF41 7BD,51.6543,-3.4913,,,
202006.0,W95036,,NEWPARK SURGERY,HEOL Y GYFFRAITH,TALBOT GREEN LLANTRISANT,MID GLAMORGAN,CF72 8AJ,51.53014615384616,-3.408415384615384,,,
202006.0,W95051,,THE MAERDY FERNDALE MGP,FERNDALE MEDICAL CENTRE,56 - 58 HIGH STREET,FERNDALE MID GLAMORGAN,CF43 4XX,51.66792,-3.4671,,,
202006.0,W95057,,PENYGRAIG SURGERY,GEORGE STREET,PENYGRAIG PORTH,RHONDDA MID GLAMORGAN,CF40 1QN,51.627316666666665,-3.461883333333333,,,
202006.0,W95076,,THE SURGERY,150 TYNTYLA ROAD,LLWYNYPIA TONYPANDY,MID GLAMORGAN,CF40 2SX,51.627316666666665,-3.461883333333333,,,
202006.0,W95086,,MORLAIS MEDICAL PRACTICE,TY MORLAIS BERRY SQUARE,DOWLAIS MERTHYR TYDFIL,MID GLAMORGAN,CF48 3AL,51.73028000000001,-3.37198,,,
202006.0,W95610,,YNYSANGHARAD SURGERY,70 YNYSANGHARAD ROAD,PONTYPRIDD RHONDDA CYNON TAFF,MID GLAMORGAN,CF37 4DA,51.613815384615386,-3.3598076923076925,,,
202006.0,W95618,,NEW TRAP SURGERY,5 DEAN STREET,ABERDARE,MID GLAMORGAN,CF44 7BN,51.7327125,-3.48293125,,,
202006.0,W95626,,THE SURGERY,BRONLLWYN,PENTYRCH,MID GLAMORGAN,CF15 9GE,51.5337,-3.2721,,,
202006.0,W97003,,REDLANDS SURGERY,REDLANDS ROAD,PENARTH VALE OF GLAMORGAN,SOUTH GLAMORGAN,CF64 3WX,51.42878,-3.21045,,,
202006.0,W97005,,RIVERSIDE HEALTH CENTRE,CANTON COURT WELLINGTON ST,CARDIFF,SOUTH GLAMORGAN,CF11 9SH,51.48,-3.18,,,
202006.0,W97009,,CATHAYS SURGERY,137 CATHAYS TERRACE,CARDIFF,SOUTH GLAMORGAN,CF24 4HU,51.48,-3.18,,,
202006.0,W97010,,CYNCOED MEDICAL PRACTICE,DARTINGTON DRIVE,PONTPRENAU CARDIFF,SOUTH GLAMORGAN,CF23 8SQ,51.5144,-3.1545,,,
202006.0,W97014,,MEDDYGFA ALBANY SURGERY,219-221 CITY ROAD,ROATH CARDIFF,SOUTH GLAMORGAN,CF24 3JD,51.48,-3.18,,,
202006.0,W97016,,TAFF RIVERSIDE PRACTICE,HEALTH CENTRE WELLINGTON ST,RIVERSIDE CARDIFF,SOUTH GLAMORGAN,CF11 9SH,51.48,-3.18,,,
202006.0,W97019,,STATION ROAD SURGERY,15-16 STATION ROAD,PENARTH VALE OF GLAMORGAN,SOUTH GLAMORGAN,CF64 3EP,51.42878,-3.21045,,,
202006.0,W97024,,RADYR MEDICAL CENTRE,RECTORY CLOSE,RADYR CARDIFF,SOUTH GLAMORGAN,CF15 8DZ,51.5337,-3.2721,,,
202006.0,W97028,,BISHOPS ROAD MEDICAL CENTRE,1 BISHOPS ROAD,WHITCHURCH CARDIFF,SOUTH GLAMORGAN,CF14 1LT,51.5199,-3.204,,,
202006.0,W00100,,CARDIFF HEALTH ACCESS PRACTICE,OUT PATIENTS DEPT.  C R I,LONGCROSS STREET,CARDIFF,CF24 0SZ,51.48,-3.18,,,
202006.0,W00101,,HEATHERWOOD COURT,LLANTRISANT ROAD,PENYCOEDCAE,PONTYPRIDD,CF37 1PL,51.613815384615386,-3.3598076923076925,,,
202006.0,W93032,,GLAN RHYD SURGERY,RIVERSIDE,BEAUFORT EBBW VALE,GWENT,NP23 5NT,51.7771,-3.2079,,,
202006.0,W95060,,THE MEDICAL CENTRE,CARDIFF ROAD,TAFFS WELL,MID GLAMORGAN,CF15 7YG,51.5337,-3.2721,,,
202006.0,W95062,,SAINT ANDREWS SURGERY,1 DE WINTON STREET,TONYPANDY RHONDDA,MID GLAMORGAN,CF40 2QZ,51.627316666666665,-3.461883333333333,,,
202006.0,W97040,,ELY BRIDGE SURGERY,23 MILL ROAD,ELY CARDIFF,SOUTH GLAMORGAN,CF5 4AD,51.471875,-3.275816666666667,,,
202006.0,W97049,,LLANRUMNEY MEDICAL GROUP,BALL ROAD,LLANRUMNEY CARDIFF,SOUTH GLAMORGAN,CF3 5NP,51.52382222222222,-3.0891333333333333,,,
202006.0,W97058,,COURT ROAD SURGERY,29 COURT ROAD,BARRY VALE OF GLAMORGAN,SOUTH GLAMORGAN,CF63 4YD,51.4172,-3.2614,,,
202006.0,W97062,,SULLY SURGERY,25 SOUTH ROAD SULLY,PENARTH VALE OF GLAMORGAN,SOUTH GLAMORGAN,CF64 5TG,51.42878,-3.21045,,,
202006.0,W97614,,VALE FAMILY PRACTICE,ST. BRIDES WAY GIBBONSTOWN,BARRY VALE OF GLAMORGAN,SOUTH GLAMORGAN,CF63 1DU,51.4172,-3.2614,,,
202006.0,W97619,,LLANDAFF SURGERY,19A HIGH STREET,LLANDAFF CARDIFF,SOUTH GLAMORGAN,CF5 2DY,51.471875,-3.275816666666667,,,
202006.0,W96013,,LLANDRINDOD WELLS MEDICAL CENT,SPA ROAD EAST,LLANDRINDOD WELLS,POWYS,LD1 5ES,52.2618,-3.3257903225806453,,,
202006.0,W92013,,MEDDYGFA'R SARN,12 HEOL Y MEINCIAU,PONTYATES LLANELLI,CARMARTHENSHIRE DYFED,SA15 5TR,51.74003,-4.187250000000001,,,
202006.0,W92014,,MEDDYGFA'R LLAN,PORTLAND STREET,ABERYSTWYTH CEREDIGION,DYFED,SY23 2DX,52.34458541666667,-3.9885,,,
202006.0,W92018,,MEDDYGFA EMLYN,ADPAR,NEWCASTLE EMLYN CEREDIGION,DYFED,SA38 9NS,52.04396923076923,-4.478853846153847,,,
202006.0,W92035,,MEDDYGFA'R TYMBL,6 HEOL Y BRYN,UPPER TYMBLE LLANELLI,CARMARTHENSHIRE DYFED,SA14 6DP,51.76378235294118,-4.089482352941177,,,
202006.0,W92036,,BRYNTEG SURGERY,BRYNMAWR AVENUE,AMMANFORD CARMARTHENSHIRE,DYFED,SA18 2DA,51.791845,-3.966785,,,
202006.0,W92037,,AVENUE VILLA SURGERY,BRYNMOR ROAD,LLANELLI CARMARTHENSHIRE,DYFED,SA15 2TJ,51.74003,-4.187250000000001,,,
202006.0,W92055,,LLANFAIR SURGERY,LLANFAIR ROAD,LLANDOVERY CARMARTHENSHIRE,DYFED,SA20 0HY,52.01661333333333,-3.785813333333333,,,
202006.0,W91006,,PEN Y MAES HEALTH CENTRE,BEECH STREET,SUMMERHILL WREXHAM,CLWYD,LL11 4UF,53.064506666666674,-3.052973333333333,,,
202006.0,W91019,,THE SURGERY,GARDDEN ROAD,RHOSLLANERCHRUGOG WREXHAM,CLWYD,LL14 2EN,52.98906111111111,-3.0515166666666667,,,
202006.0,W91020,,FORGE ROAD SURGERY,FORGE ROAD,SOUTHSEA WREXHAM,CLWYD,LL11 5RR,53.064506666666674,-3.052973333333333,,,
202006.0,W91027,,BRONYFFYNNON SURGERY,24 BRIDGE STREET,DENBIGH,DENBIGHSHIRE,LL16 3TH,53.170152173913046,-3.4313173913043475,,,
202006.0,W91057,,MIDDLE LANE SURGERY,MIDDLE LANE,DENBIGH,DENBIGHSHIRE,LL16 3UW,53.170152173913046,-3.4313173913043475,,,
202006.0,W91058,,HILLCREST MEDICAL CENTRE,86 HOLT ROAD,WREXHAM,CLWYD,LL13 8RG,52.9917619047619,-2.9116809523809524,,,
202006.0,W91062,,BROAD STREET SURGERY,BROAD STREET,RHOSLLANERCHRUGOG,WREXHAM CLWYD,LL14 1RB,52.98906111111111,-3.0515166666666667,,,
202006.0,W91610,,CAERGWRLE MEDICAL PRACTICE,39- 41 HIGH STREET,CAERGWRLE WREXHAM,FLINTSHIRE,LL12 9LG,53.104020000000006,-3.0036,,,
202006.0,W91614,,CRANE MEDICAL CENTRE,CRANE STREET,CEFN MAWR WREXHAM,CLWYD,LL14 3AB,52.98906111111111,-3.0515166666666667,,,
202006.0,W94003,,PLAS MENAI SURGERY,PENMAENMAWR ROAD,LLANFAIRFECHAN,CONWY,LL33 0PE,53.2578,-3.9742,,,
202006.0,W94012,,BRON SEIONT HAFAN IECHYD,VICTORIA DOCK BALACLAFA ROAD,CAERNARFON,GWYNEDD,LL55 1TH,53.12915357142857,-4.195053571428572,,,
202006.0,W94019,,CRAIG Y DON MEDICAL PRACTICE,CLARENCE ROAD,CRAIG Y DON LLANDUDNO,CONWY,LL30 1TA,53.325,-3.8315,,,
202006.0,W94031,,BODREINALLT,CASTLE STREET,CONWY,CLWYD,LL32 8AT,53.22179,-3.843480000000001,,,
202006.0,W94042,,BODNANT,WATER STREET,PENYGROES,GWYNEDD,LL54 6LU,53.01643928571429,-4.2483,,,
202006.0,W94043,,THE SURGERY,GWALCHMAI,HOLYHEAD,YNYS MON,LL65 4RS,53.28968620689656,-4.534455172413793,,,
202006.0,W94046,,MEDDYGFA GYFFIN,WOODLANDS,GYFFIN,CONWY,LL32 8LT,53.22179,-3.843480000000001,,,
202006.0,W94633,,MEDDYGFA STAR SURGERY,STAR,GAERWEN,YNYS MON,LL60 6AH,53.22316666666666,-4.282666666666667,,,
202006.0,W98001,,PONTARDAWE PRIMARY CARE CENTRE,TAWE TERRACE,PONTARDAWE SWANSEA,WEST GLAMORGAN,SA8 4JU,51.72245,-3.8458625,,,
202006.0,W00110,,LLANGOLLEN HEALTH CENTRE,REGENT STREET,LLANGOLLEN,DENBIGHSHIRE,LL20 8HL,52.955846666666666,-3.16774,,,
202006.0,W93018,,ISCA MEDICAL CENTRE,CADOC HOUSE HIGH STREET,CAERLEON,GWENT,NP18 1AZ,51.6084,-2.9435,,,
202006.0,W93022,,TOWN GATE PRACTICE,CHEPSTOW COMMUNITY HOSPITAL,TEMPEST WAY CHEPSTOW,GWENT,NP16 5XP,51.6409,-2.6768,,,
202006.0,W93037,,THE SURGERY JAMES HOUSE,MARYPORT STREET,USK,GWENT,NP15 1AB,51.7035,-2.9033,,,
