BNFChapter, ChapterDesc, BNFSection, SectionDesc, BNFSubSection, SubSectionDesc, BNFChemical, ChemicalDesc
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010G0,Co-Magaldrox(Magnesium/Aluminium Hydrox)                    
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010G0,Co-Magaldrox(Magnesium/Aluminium Hydrox)                    
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010I0,Magnesium Oxide                                             
1,Gastro-Intestinal System                ,101.0,Dyspepsia and gastro-oesophageal reflux                     ,101010,Antacids and simeticone                                     ,0101010I0,Magnesium oxide                                             
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010I0,Magnesium Oxide                                             
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010J0,Magnesium Trisilicate                                       
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010J0,Magnesium Trisilicate                                       
1,Gastro-Intestinal System                ,101.0,Dyspepsia and gastro-oesophageal reflux                     ,101010,Antacids and simeticone                                     ,0101010J0,Magnesium trisilicate                                       
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010L0,Aluminium & Magnesium & Act Dimeticone                      
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010L0,Aluminium & Magnesium & Act Simeticone                      
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010M0,Magaldrate                                                  
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010N0,Aluminium & Magnesium & Oxetacaine                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010N0,Aluminium & Magnesium & Oxetacaine                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010P0,Co-Simalcite (Act Dimetic/Hydrotalcite)                     
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010Q0,Magnesium Hydroxide                                         
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010Q0,Magnesium Hydroxide                                         
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010R0,Simeticone                                                  
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010S0,Calcium Carbonate & Dimeticone                              
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010T0,Magnesium Sulphate                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010U0,Sodium Citrate                                              
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101012,Sodium Bicarbonate                                          ,0101012A0,Gripe Mixtures                                              
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101012,Sodium Bicarbonate                                          ,0101012B0,Sodium Bicarbonate                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101020,Compound Alginates&Prop Indigestion Prep                    ,010102000,Other Preparations                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101020,Compound Alginates&Prop Indigestion Prep                    ,0101020G0,Gripe Mixtures                                              
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101020,Compound Alginates&Prop Indigestion Prep                    ,0101020S0,Sodium Bicarbonate                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Other Drugs for Dyspepsia and GORD                          ,010102100,Other Drugs for Dyspepsia & GORD Preps                      
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Compound Alginates&Prop Indigestion Prep                    ,010102100,Compound Alginates&Prop Indigestion Prep                    
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Other Drugs for Dyspepsia and GORD                          ,010102100,Other Preparations                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Compound Alginates&Prop Indigestion Prep                    ,0101021B0,Alginic Acid Compound Preparations                          
1,Gastro-Intestinal System                ,101.0,Dyspepsia and gastro-oesophageal reflux                     ,101021,Compound Alginates and proprietary indig                    ,0101021B0,Alginic acid compound preparations                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Other Drugs for Dyspepsia and GORD                          ,0101021B0,Alginic Acid Compound Preparations                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Compound Alginates&Prop Indigestion Prep                    ,0101021C0,Calcium Carbonate                                           
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101021,Other Drugs for Dyspepsia and GORD                          ,0101021C0,Calcium Carbonate                                           
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101030,Other Drugs for Dyspepsia and GORD                          ,010103000,Other Preparations                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101030,Other Drugs for Dyspepsia and GORD                          ,0101030A0,Dimethicone                                                 
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101030,Other Drugs for Dyspepsia and GORD                          ,0101030B0,Alginic Acid Compound Preparations                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101030,Other Drugs for Dyspepsia and GORD                          ,0101030C0,Calcium Carbonate                                           
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101030,Other Drugs for Dyspepsia and GORD                          ,0101030H0,Bismuth Subcarbonate                                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,010200000,Other Preparations                                          
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,010200010,Papaverine Hydrochloride                                    
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,010200030,Trospium Chloride                                           
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000A0,Alverine Citrate                                            
1,Gastro-Intestinal System                ,102.0,Antispasmodics and other drugs altering                     ,102000,Antispasmodics and other drugs altering                     ,0102000A0,Alverine citrate                                            
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AA,Clebopride                                                  
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AB,Hyoscyamine Sulphate                                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AC,Atropine Sulphate                                           
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AC,Atropine Sulfate                                            
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AD,Pinaverium Bromide                                          
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AE,Phloroglucinol                                              
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AF,Prucalopride                                                
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AH,Linaclotide                                                 
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AI,Lubiprostone                                                
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AJ,Alverine Citrate/Simeticone                                 
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000AK,Eluxadoline                                                 
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000B0,Ambutonium Bromide                                          
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000C0,Alverine Citrate Compound Preparations                      
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000D0,Compound Antispasmodic Preparations                         
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000E0,Gentian                                                     
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000F0,Atropine Methonitrate                                       
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000G0,Cisapride                                                   
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000H0,Belladonna Alkaloids                                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000I0,Clove Oil                                                   
1,Gastro-Intestinal System                ,102.0,Antispasmodics and other drugs altering                     ,102000,Antispasmodics and other drugs altering                     ,0102000J0,Dicycloverine hydrochloride                                 
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000J0,Dicycloverine Hydrochloride                                 
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000K0,Dicycloverine HCl Compound Preparations                     
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000L0,Glycopyrronium Bromide                                      
1,Gastro-Intestinal System                ,102.0,Antispasmodics and other drugs altering                     ,102000,Antispasmodics and other drugs altering                     ,0102000L0,Glycopyrronium bromide                                      
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000M0,Oxyphenonium Bromide                                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000N0,Hyoscine Butylbromide                                       
1,Gastro-Intestinal System                ,102.0,Antispasmodics and other drugs altering                     ,102000,Antispasmodics and other drugs altering                     ,0102000N0,Hyoscine butylbromide                                       
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000P0,Mebeverine Hydrochloride                                    
1,Gastro-Intestinal System                ,102.0,Antispasmodics and other drugs altering                     ,102000,Antispasmodics and other drugs altering                     ,0102000P0,Mebeverine hydrochloride                                    
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000Q0,Oxybutynin Hydrochloride                                    
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000R0,Mepenzolate Bromide                                         
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000S0,Penthienate Methobromide                                    
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000T0,Peppermint Oil                                              
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000U0,Pipenzolate Bromide                                         
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000V0,Piperidolate Hydrochloride                                  
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000W0,Poldine Metilsulfate                                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000X0,Mebeverine HCl Compound Preparations                        
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000Y0,Propantheline Bromide                                       
1,Gastro-Intestinal System                ,102.0,Antispasmod.&Other Drgs Alt.Gut Motility                    ,102000,Antispasmod.&Other Drgs Alt.Gut Motility                    ,0102000Z0,Pipenzolate Bromide Compound Prep's                         
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103000,Ulcer-Healing Drugs                                         ,010300000,Other Preparations                                          
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103000,Antisecretory Drugs+Mucosal Protectants                     ,010300000,Other Test For Helicobacter Pylori Preps                    
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010D0,Cimetidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103010,H2-receptor antagonists                                     ,0103010D0,Cimetidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103010,H2-Receptor Antagonists                                     ,0103010D0,Cimetidine                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010E0,Cimetidine With Alginate                                    
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010H0,Famotidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103010,H2-receptor antagonists                                     ,0103010H0,Famotidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103010,H2-Receptor Antagonists                                     ,0103010H0,Famotidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103010,H2-Receptor Antagonists                                     ,0103010N0,Nizatidine                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103010,H2-receptor antagonists                                     ,0103010N0,Nizatidine                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010N0,Nizatidine                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010S0,Ranitidine Bismuth Citrate                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103010,H2-Receptor Antagonists                                     ,0103010T0,Ranitidine Hydrochloride                                    
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103010,H2-Receptor Antagonists                                     ,0103010T0,Ranitidine Hydrochloride                                    
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103010,H2-receptor antagonists                                     ,0103010T0,Ranitidine hydrochloride                                    
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103020,Selective Antimuscarinics                                   ,0103020P0,Pirenzepine                                                 
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103020,Selective Antimuscarinics                                   ,0103020P0,Pirenzepine                                                 
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103030,Chelates And Complexes                                      ,0103030D0,Bismuth Chelate                                             
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103030,Chelates and complexes                                      ,0103030S0,Sucralfate                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103030,Chelates And Complexes                                      ,0103030S0,Sucralfate                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103030,Chelates And Complexes                                      ,0103030S0,Sucralfate                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103030,Chelates And Complexes                                      ,0103030W0,Tripotassium Dicitratobismuthate                            
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103030,Chelates And Complexes                                      ,0103030W0,Tripotassium Dicitratobismuthate                            
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103040,Prostaglandin Analogues                                     ,0103040M0,Misoprostol                                                 
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050A0,Helicobacter Pylori Eradication Therapy                     
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050A0,Helicobacter Pylori Eradication Therapy                     
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050E0,Esomeprazole                                                
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050E0,Esomeprazole                                                
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103050,Proton pump inhibitors                                      ,0103050E0,Esomeprazole                                                
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050L0,Lansoprazole                                                
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103050,Proton pump inhibitors                                      ,0103050L0,Lansoprazole                                                
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050L0,Lansoprazole                                                
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050P0,Omeprazole                                                  
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050P0,Omeprazole                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103050,Proton pump inhibitors                                      ,0103050P0,Omeprazole                                                  
1,Gastro-Intestinal System                ,103.0,Antisecretory drugs and mucosal protecta                    ,103050,Proton pump inhibitors                                      ,0103050R0,Pantoprazole                                                
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050R0,Pantoprazole                                                
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050R0,Pantoprazole                                                
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103050,Proton Pump Inhibitors                                      ,0103050T0,Rabeprazole Sodium                                          
1,Gastro-Intestinal System                ,103.0,Antisecretory Drugs+Mucosal Protectants                     ,103050,Proton Pump Inhibitors                                      ,0103050T0,Rabeprazole Sodium                                          
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103060,Other Ulcer-Healing Drugs                                   ,0103060D0,Carbenoxolone Sodium                                        
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103060,Other Ulcer-Healing Drugs                                   ,0103060E0,Carbenoxolone Sodium Compound Prep's                        
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103060,Other Ulcer-Healing Drugs                                   ,0103060N0,Liquorice Deglycyrrhizinised                                
1,Gastro-Intestinal System                ,103.0,Ulcer-Healing Drugs                                         ,103060,Other Ulcer-Healing Drugs                                   ,0103060P0,Proglumide                                                  
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104010,Adsorbents And Bulk-Forming Drugs                           ,010401000,Other Preparations                                          
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104010,Adsorbents And Bulk-Forming Drugs                           ,0104010B0,Ceratonia                                                   
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104010,Adsorbents And Bulk-Forming Drugs                           ,0104010C0,Activated Attapulgite                                       
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104010,Adsorbents And Bulk-Forming Drugs                           ,0104010D0,Chalk                                                       
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104010,Adsorbents And Bulk-Forming Drugs                           ,0104010H0,Kaolin Light                                                
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,010402000,Other Preparations                                          
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020D0,Codeine Phosphate Compound Mixtures                         
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020H0,Co-Phenotrope (Diphenox HCl/Atrop Sulph)                    
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020L0,Loperamide Hydrochloride                                    
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020N0,Opium & Morphine                                            
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020P0,Loperamide Hydrochloride & Dimeticone                       
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104020,Antimotility Drugs                                          ,0104020P0,Loperamide Hydrochloride & Simeticone                       
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104030,Other Antidiorrheal Drugs                                   ,0104030A0,Racecadotril                                                
1,Gastro-Intestinal System                ,104.0,Acute Diarrhoea                                             ,104040,Tryptophan Hydroxylase Inhibitors                           ,0104040A0,Telotristat Ethyl                                           
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,010500000,Other Preparations                                          
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000A0,Aminosalicylic Acid                                         
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000B0,Budesonide                                                  
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000F0,Hydrocortisone Acetate                                      
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000G0,Hydrocortisone                                              
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000H0,Mesalazine (Systemic)                                       
1,Gastro-Intestinal System                ,105.0,Chronic Bowel Disorders                                     ,105000,Chronic Bowel Disorders                                     ,0105000L0,Olsalazine Sodium                                           
